index,AUD,EUR,NZD,GBP,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB,gdpGBP,gdpUSD,Value_GBP,Value_USA,liborUSD,liborGBP
2000-02-01,0.6315,0.9731,0.4904,1.615,1.795,1.4468,8.2774,7.6445,7.7807,43.62,107.67,3.8,9.597,8.277,6.28,1.699,1127.0,73.55,8.768,1.654,31.75,37.51,0.6563,100.905,101.5818,,,5.84138,5.97114
2000-02-02,0.636,0.9768,0.4898,1.606,1.785,1.4435,8.2773,7.6215,7.7805,43.65,108.4,3.8,9.575,8.225,6.2825,1.6985,1131.0,73.25,8.708,1.6502,30.8,37.65,0.6571,100.90651,101.585615,,,5.847311,5.9670395
2000-02-03,0.6387,0.9887,0.4967,1.6025,1.775,1.4417,8.2781,7.52,7.7812,43.65,107.92,3.8,9.51,8.158,6.2575,1.6925,1130.5,73.55,8.577,1.6255,30.8,37.59,0.657,100.90802,101.58943000000001,,,5.853242,5.962939
2000-02-04,0.6315,0.976,0.493,1.5915,1.773,1.4467,8.2788,7.626,7.781,43.65,107.54,3.8,9.481,8.27,6.286,1.693,1130.0,73.55,8.663,1.647,30.8,37.55,0.6573,100.90953,101.593245,,,5.859173,5.9588385
2000-02-07,0.6339,0.9783,0.4936,1.5917,1.77,1.4457,8.2788,7.609,7.782,43.64,108.75,3.8,9.436,8.259,6.2905,1.6958,1129.6,73.5,8.66,1.6426,30.8,37.75,0.6573,100.91104,101.59706,,,5.865104,5.954738
2000-02-08,0.6353,0.9862,0.494,1.6105,1.765,1.4473,8.2788,7.5455,7.7809,43.63,109.59,3.8,9.402,8.1835,6.299,1.6968,1129.5,73.6,8.595,1.6301,30.75,37.64,0.6578,100.91255,101.600875,,,5.871035,5.9506375
2000-02-09,0.6345,0.9914,0.492,1.6115,1.77,1.4443,8.2788,7.504,7.781,43.65,109.11,3.8,9.399,8.145,6.32,1.6918,1124.0,73.6,8.544,1.6232,30.65,37.55,0.6585,100.91406,101.60469,,,5.876966,5.946537
2000-02-10,0.632,0.9865,0.4935,1.6057,1.77,1.45,8.2788,7.547,7.782,43.58,108.74,3.8,9.4365,8.175,6.3425,1.6929,1121.0,72.82,8.585,1.628,30.65,37.42,0.6588,100.91557,101.60850500000001,,,5.882897,5.9424365
2000-02-11,0.6282,0.9847,0.4915,1.5923,1.767,1.4515,8.2788,7.566,7.7814,43.65,108.99,3.8,9.423,8.212,6.361,1.6947,1115.0,73.6,8.608,1.6305,30.63,37.43,0.6583,100.91708,101.61232,,,5.888828,5.938336
2000-02-14,0.6279,0.9783,0.4868,1.589,1.769,1.4547,8.2779,7.612,7.78,43.65,108.65,3.8,9.393,8.248,6.355,1.6975,1128.0,73.65,8.679,1.6435,30.72,37.49,0.6585,100.91859,101.616135,,,5.894759,5.9342355
2000-02-15,0.63,0.9834,0.487,1.595,1.783,1.4585,8.2777,7.5743,7.781,43.64,108.75,3.8,9.3875,8.2515,6.355,1.696,1128.0,73.75,8.68,1.633,30.75,37.52,0.6593,100.92009999999999,101.61995,,,5.90069,5.930135
2000-02-16,0.6301,0.9842,0.4899,1.604,1.775,1.452,8.2777,7.567,7.7814,43.75,109.38,3.8,9.3715,8.239,6.3375,1.7033,1126.0,73.41,8.6695,1.6302,30.72,37.7,0.6595,100.92161,101.623765,,,5.906621,5.9260345
2000-02-17,0.632,0.9863,0.4937,1.605,1.777,1.4522,8.2772,7.555,7.7815,43.68,110.27,3.8,9.398,8.285,6.325,1.706,1128.0,73.65,8.68,1.6274,30.72,37.77,0.6614,100.92312,101.62758000000001,,,5.912552,5.921934
2000-02-18,0.6292,0.985,0.4909,1.5984,1.777,1.4512,8.2772,7.561,7.7808,43.68,110.88,3.8,9.354,8.257,6.325,1.7058,1129.0,73.36,8.6725,1.6282,30.765,38.11,0.661,100.92463,101.631395,,,5.918483,5.9178334999999995
2000-02-22,0.6257,1.006,0.4917,1.6165,1.785,1.4595,8.2773,7.4035,7.7825,43.65,111.04,3.8,9.427,8.145,6.313,1.7085,1135.0,73.6,8.5395,1.5983,30.8,38.22,0.6614,100.92614,101.63521,,,5.924414,5.913733
2000-02-23,0.6196,1.0017,0.4855,1.6047,1.79,1.4651,8.278,7.436,7.7826,43.68,111.11,3.8,9.413,8.1775,6.335,1.714,1136.0,73.6,8.577,1.6082,30.8,38.09,0.6613,100.92765,101.639025,,,5.930345,5.9096325
2000-02-24,0.6144,0.9931,0.4867,1.5981,1.782,1.4587,8.278,7.501,7.783,43.65,110.95,3.8,9.382,8.2055,6.329,1.7165,1144.0,73.75,8.619,1.62,30.85,38.22,0.6621,100.92916,101.64284,,,5.936276,5.905532
2000-02-25,0.6175,0.9763,0.4882,1.5908,1.774,1.4505,8.2786,7.6345,7.783,43.65,110.98,3.8,9.378,8.312,6.312,1.711,1137.0,73.75,8.695,1.6475,30.8,37.88,0.6618,100.93066999999999,101.64665500000001,,,5.942207,5.9014315
2000-02-28,0.6116,0.9669,0.4846,1.5935,1.779,1.4538,8.2786,7.6975,7.783,43.68,109.17,3.8,9.4025,8.3425,6.3725,1.7185,1135.0,73.75,8.6895,1.6615,30.8,37.95,0.6622,100.93217999999999,101.65047,,,5.948138,5.897330999999999
2000-02-29,0.6155,0.9643,0.4865,1.578,1.769,1.4505,8.2786,7.724,7.7833,43.65,109.88,3.8,9.3645,8.381,6.34,1.7237,1131.31,73.75,8.75,1.6665,30.76,38.13,0.6625,100.93369,101.654285,,,5.954069,5.8932305
2000-03-01,0.6067,0.97,0.4853,1.5849,1.769,1.447,8.2786,7.673,7.7824,43.63,107.1,3.8,9.363,8.3115,6.3525,1.7182,1128.5,73.75,8.6865,1.6568,30.75,38.11,0.663,100.9352,101.6581,,,5.96,5.88913
2000-03-02,0.6077,0.9619,0.4878,1.5765,1.759,1.4543,8.2787,7.7446,7.7825,43.65,107.37,3.8,9.341,8.4024,6.368,1.7214,1120.5,73.9,8.805,1.6714,30.75,38.0,0.6638,100.93483255813953,101.66081162790698,,,5.971129534883721,5.891686511627907
2000-03-03,0.6082,0.9618,0.4878,1.581,1.744,1.451,8.2789,7.7415,7.7833,43.65,107.8,3.8,9.315,8.397,6.49,1.7253,1120.5,73.9,8.815,1.6712,30.75,38.01,0.6641,100.93446511627907,101.66352325581396,,,5.982259069767442,5.894243023255814
2000-03-06,0.6016,0.9603,0.481,1.5732,1.747,1.4555,8.2785,7.755,7.7835,43.63,107.74,3.8,9.3175,8.4125,6.5,1.7252,1119.3,74.0,8.7865,1.675,30.8,38.1,0.6643,100.9340976744186,101.66623488372093,,,5.993388604651162,5.896799534883721
2000-03-07,0.6035,0.956,0.4836,1.5772,1.747,1.4527,8.2784,7.787,7.784,43.63,106.2,3.8,9.285,8.436,6.523,1.7199,1118.7,73.9,8.804,1.681,30.75,38.06,0.6643,100.93373023255813,101.66894651162791,,,6.004518139534884,5.8993560465116275
2000-03-08,0.6094,0.9576,0.4875,1.5855,1.754,1.4592,8.2786,7.777,7.7845,43.65,106.89,3.8,9.272,8.454,6.4825,1.714,1119.2,73.65,8.851,1.677,30.76,37.94,0.6645,100.93336279069767,101.67165813953488,,,6.015647674418605,5.901912558139535
2000-03-09,0.6155,0.9684,0.4917,1.5815,1.735,1.457,8.2787,7.694,7.7842,43.63,106.45,3.8,9.2925,8.393,6.4025,1.708,1123.0,73.65,8.7235,1.6595,30.75,37.93,0.6653,100.93299534883721,101.67436976744186,,,6.026777209302326,5.904469069767441
2000-03-10,0.6136,0.9659,0.495,1.5793,1.738,1.4575,8.2785,7.7175,7.7848,43.65,106.27,3.8,9.3175,8.395,6.3875,1.7035,1120.2,73.8,8.72,1.6661,30.75,37.85,0.6655,100.93262790697673,101.67708139534884,,,6.037906744186047,5.907025581395349
2000-03-13,0.6165,0.9648,0.4933,1.5782,1.749,1.4614,8.2781,7.7235,7.7842,43.65,105.32,3.8,9.313,8.419,6.435,1.7068,1121.0,74.05,8.718,1.6702,30.75,37.93,0.6653,100.93226046511627,101.67979302325581,,,6.049036279069767,5.909582093023255
2000-03-14,0.614,0.9644,0.4904,1.5725,1.738,1.4632,8.278,7.7235,7.7845,43.64,104.85,3.8,9.319,8.443,6.44,1.7095,1118.4,73.62,8.697,1.6715,30.74,37.87,0.6659,100.93189302325581,101.68250465116279,,,6.060165813953488,5.912138604651163
2000-03-15,0.6125,0.9696,0.4885,1.573,1.7402,1.468,8.2778,7.6855,7.7847,43.65,105.58,3.8,9.337,8.417,6.475,1.715,1118.5,73.62,8.6915,1.6618,30.75,38.16,0.6665,100.93152558139535,101.68521627906976,,,6.071295348837209,5.91469511627907
2000-03-16,0.6107,0.971,0.4878,1.5747,1.736,1.4724,8.2777,7.665,7.7846,43.58,105.63,3.8,9.325,8.406,6.45,1.712,1118.0,73.64,8.694,1.6593,30.815,37.96,0.6673,100.93115813953487,101.68792790697675,,,6.082424883720931,5.9172516279069765
2000-03-17,0.6067,0.9694,0.4845,1.5705,1.737,1.4728,8.2785,7.676,7.7849,43.65,106.1,3.8,9.322,8.4085,6.47,1.7161,1117.3,74.0,8.666,1.662,30.74,37.97,0.667,100.93079069767441,101.69063953488373,,,6.0935544186046515,5.919808139534884
2000-03-20,0.6065,0.971,0.4835,1.5686,1.74,1.4703,8.2786,7.667,7.7855,43.63,106.5,3.8,9.321,8.421,6.492,1.72,1118.18,73.9,8.6425,1.6605,30.75,38.04,0.6673,100.93042325581395,101.6933511627907,,,6.104683953488372,5.92236465116279
2000-03-21,0.61,0.9703,0.4903,1.5725,1.7395,1.4662,8.2783,7.676,7.7855,43.59,106.91,3.8,9.3,8.429,6.484,1.7188,1117.0,73.75,8.65,1.6615,30.78,37.9,0.6677,100.93005581395349,101.69606279069768,,,6.115813488372093,5.924921162790698
2000-03-22,0.6056,0.9608,0.4876,1.5705,1.729,1.472,8.2783,7.751,7.7858,43.65,106.77,3.8,9.275,8.466,6.4575,1.7125,1113.0,73.7,8.711,1.675,30.75,37.8,0.668,100.92968837209303,101.69877441860466,,,6.126943023255814,5.927477674418604
2000-03-23,0.6041,0.9691,0.4875,1.583,1.723,1.4727,8.2787,7.6875,7.7858,43.65,107.45,3.8,9.2375,8.388,6.478,1.7115,1110.0,73.75,8.645,1.6522,30.75,37.75,0.6688,100.92932093023255,101.70148604651163,,,6.138072558139535,5.930034186046512
2000-03-24,0.6064,0.9724,0.4883,1.591,1.73,1.465,8.2789,7.6575,7.7845,43.65,107.25,3.8,9.1875,8.345,6.4835,1.716,1108.7,73.74,8.5775,1.6333,30.7,37.72,0.669,100.92895348837209,101.70419767441861,,,6.149202093023256,5.932590697674418
2000-03-27,0.6114,0.9645,0.4932,1.5855,1.736,1.4605,8.2792,7.719,7.7855,43.62,107.13,3.8,9.1825,8.406,6.465,1.716,1112.1,73.85,8.6465,1.6468,30.65,37.8,0.6695,100.92858604651163,101.70690930232558,,,6.160331627906977,5.935147209302325
2000-03-28,0.6141,0.9614,0.5025,1.5872,1.749,1.4541,8.2795,7.747,7.785,43.65,105.9,3.8,9.184,8.39,6.49,1.715,1112.5,73.85,8.5675,1.6551,30.64,37.8,0.6693,100.92821860465116,101.70962093023256,,,6.171461162790698,5.937703720930233
2000-03-29,0.6124,0.9524,0.5015,1.587,1.74,1.4555,8.2789,7.819,7.7865,43.65,105.6,3.8,9.235,8.45,6.5125,1.7168,1109.4,73.9,8.6675,1.6725,30.6,37.79,0.67,100.92785116279069,101.71233255813954,,,6.182590697674419,5.940260232558139
2000-03-30,0.6125,0.9594,0.499,1.5922,1.753,1.4557,8.2788,7.763,7.7866,43.65,105.53,3.8,9.306,8.405,6.579,1.7194,1107.5,73.85,8.633,1.6605,30.6,37.88,0.671,100.92748372093023,101.71504418604651,,,6.19372023255814,5.942816744186047
2000-03-31,0.6062,0.9574,0.496,1.5922,1.742,1.4538,8.2787,7.775,7.7867,43.65,102.73,3.8,9.2895,8.435,6.535,1.712,1105.5,73.85,8.635,1.663,30.48,37.85,0.67,100.92711627906976,101.71775581395349,,,6.204849767441861,5.945373255813953
2000-04-03,0.6073,0.956,0.4998,1.598,1.742,1.4548,8.2786,7.7895,7.7868,43.632,104.82,3.8,9.29,8.464,6.565,1.7173,1113.0,73.85,8.678,1.6587,30.5,37.8,0.6705,100.9267488372093,101.72046744186046,,,6.215979302325581,5.9479297674418605
2000-04-04,0.6032,0.9588,0.5007,1.5965,1.745,1.4531,8.2791,7.777,7.7863,43.65,105.33,3.8,9.312,8.49,6.56,1.7183,1114.0,74.18,8.691,1.65,30.45,37.86,0.6704,100.92638139534883,101.72317906976744,,,6.227108837209302,5.950486279069767
2000-04-05,0.6053,0.9647,0.5033,1.59,1.755,1.4548,8.2795,7.7225,7.7864,43.68,105.0,3.8,9.395,8.4425,6.6025,1.716,1115.5,74.15,8.6225,1.633,30.5,38.05,0.6713,100.92601395348836,101.72589069767442,,,6.238238372093023,5.953042790697674
2000-04-06,0.6016,0.958,0.501,1.58,1.745,1.4515,8.2795,7.774,7.787,43.65,104.78,3.8,9.364,8.476,6.575,1.715,1112.0,74.18,8.661,1.639,30.48,38.05,0.6719,100.9256465116279,101.72860232558139,,,6.249367906976745,5.955599302325582
