"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,-3.790054,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,-3.762476,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,-4.0501,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,-4.073653,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,-4.092976,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,-3.594717,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2001-Q3","Q3-2001","PC","Percentage","0","Units",,,-3.903937,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2001-Q4","Q4-2001","PC","Percentage","0","Units",,,-3.311788,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2002-Q1","Q1-2002","PC","Percentage","0","Units",,,-3.806111,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2002-Q2","Q2-2002","PC","Percentage","0","Units",,,-4.212883,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2002-Q3","Q3-2002","PC","Percentage","0","Units",,,-4.182578,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2002-Q4","Q4-2002","PC","Percentage","0","Units",,,-4.483144,,
"B6BLTT02","Current account balance as % of GDP","USA","United States","STSA","Indicators in percentage","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,-4.84555,,
