Date,Argentine Peso,Australian Dollar,Bahraini Dinar,Botswana Pula,Brazilian Real,British Pound,Bruneian Dollar,Bulgarian Lev,Canadian Dollar,Chilean Peso,Chinese Yuan Renminbi,Colombian Peso,Croatian Kuna,Czech Koruna,Danish Krone,Emirati Dirham,Euro,Hong Kong Dollar,Hungarian Forint,Icelandic Krona,Indian Rupee,Indonesian Rupiah,Iranian Rial,Israeli Shekel,Japanese Yen,Kazakhstani Tenge,Kuwaiti Dinar,Libyan Dinar,Malaysian Ringgit,Mauritian Rupee,Mexican Peso,Nepalese Rupee,New Zealand Dollar,Norwegian Krone,Omani Rial,Pakistani Rupee,Philippine Peso,Polish Zloty,Qatari Riyal,Romanian New Leu,Russian Ruble,Saudi Arabian Riyal,Singapore Dollar,South African Rand,South Korean Won,Sri Lankan Rupee,Swedish Krona,Swiss Franc,Taiwan New Dollar,Thai Baht,Trinidadian Dollar,Turkish Lira,Venezuelan Bolivar
2020-08-22,73.579256,1.396602,0.376000,11.637555,5.618639,0.763911,1.371719,1.657960,1.318061,793.075643,6.918983,3835.990197,6.383275,22.100540,6.311640,3.672500,0.847702,7.750382,297.543318,137.845182,74.945117,14790.599493,42025.318594,3.405814,105.816527,419.780223,0.306599,1.364041,4.181924,40.049726,21.981046,120.474275,1.528191,9.012533,0.384500,168.238479,48.658394,3.743085,3.640000,4.103890,74.770991,3.750000,1.371719,17.153688,1191.972597,184.690358,8.803005,0.911707,29.448058,31.584300,6.755045,7.337336,9.987500
2020-08-23,73.579557,1.395563,0.376000,11.637555,5.620804,0.763985,1.371610,1.657235,1.317663,793.066931,6.918471,3834.282150,6.383275,22.097514,6.311767,3.672500,0.847331,7.750209,297.532260,137.845182,74.945209,14787.920116,42025.380335,3.405699,105.880869,419.792860,0.306599,1.366891,4.182079,40.049769,21.982190,120.474424,1.529008,9.010828,0.384500,168.238288,48.659628,3.743044,3.640000,4.104079,74.771327,3.750000,1.371610,17.151668,1191.949155,184.690358,8.808219,0.910681,29.447367,31.585409,6.755030,7.336388,9.987500
2020-08-24,73.710014,1.393959,0.376000,11.643542,5.601739,0.764626,1.369650,1.657013,1.321918,787.744791,6.919940,3849.152350,6.382396,22.103677,6.306667,3.672500,0.847217,7.750069,298.152136,137.938421,74.178602,14663.567646,42180.116016,3.402740,105.905431,419.810173,0.305859,1.367657,4.176234,39.689863,21.972510,119.242103,1.529953,8.995832,0.384500,168.387786,48.555421,3.721184,3.640000,4.100510,74.493289,3.750000,1.369650,16.936985,1189.103180,185.030870,8.783523,0.910874,29.378730,31.485500,6.773416,7.380489,9.987500
2020-08-25,73.804240,1.392982,0.376000,11.621302,5.606940,0.761295,1.369387,1.654960,1.319180,786.163715,6.913134,3869.518938,6.372039,22.144982,6.297897,3.672500,0.846168,7.750692,298.384965,137.953874,74.226103,14630.359614,42072.946766,3.400540,106.397684,419.258056,0.305895,1.368516,4.168321,39.967714,21.963666,119.318460,1.531507,8.978172,0.384500,168.505809,48.545094,3.722274,3.640000,4.096165,75.390220,3.750000,1.369387,16.867176,1188.238103,186.111115,8.774083,0.908908,29.394718,31.444347,6.776604,7.403526,9.987500
2020-08-26,73.857449,1.384584,0.376000,11.621117,5.600594,0.758394,1.366561,1.655690,1.314637,786.596159,6.886889,3846.892520,6.371842,22.250198,6.301694,3.672500,0.846541,7.750277,301.232752,138.156566,74.243657,14656.978563,42095.490394,3.400765,106.129704,420.354116,0.305798,1.368527,4.168734,39.715311,21.949405,119.346679,1.515130,8.921152,0.384500,168.503194,48.568535,3.742197,3.640000,4.097757,75.603049,3.750000,1.366561,16.977582,1185.733551,186.190027,8.740750,0.908608,29.365264,31.274246,6.775702,7.380877,9.987500
2020-08-27,73.872095,1.377538,0.376000,11.566457,5.596791,0.756024,1.365714,1.654156,1.311472,783.792921,6.892422,3820.317030,6.377518,22.240532,6.294788,3.672500,0.845756,7.749799,301.636822,138.291146,73.858262,14669.225473,42095.862351,3.374100,106.422832,420.168123,0.305764,1.368331,4.171899,39.722239,22.120421,118.727156,1.506171,8.890514,0.384500,167.354185,48.540114,3.732444,3.640000,4.095638,75.025215,3.750000,1.365714,17.007197,1186.354753,186.222008,8.711111,0.907915,29.381426,31.244388,6.774315,7.351481,9.987500
2020-08-28,73.991581,1.359952,0.376000,11.550943,5.446531,0.749333,1.358196,1.643038,1.310207,779.767383,6.864699,3761.286675,6.333661,21.949155,6.252407,3.672500,0.840072,7.750424,297.335983,137.530456,73.178187,14600.967401,42010.899710,3.360979,105.271047,420.367105,0.305499,1.368727,4.166248,39.719634,21.864927,117.633935,1.483175,8.787277,0.384500,167.383957,48.377285,3.682099,3.640000,4.066236,74.102536,3.750000,1.358196,16.590502,1181.708024,186.308109,8.626707,0.903878,29.356306,31.102197,6.775106,7.336278,9.987500
2020-08-29,73.845891,1.357354,0.376000,11.550939,5.386051,0.748983,1.358285,1.642820,1.309812,779.471136,6.865288,3745.010440,6.333562,21.934832,6.252333,3.672500,0.839961,7.750453,297.375586,137.547816,73.141111,14705.381342,42025.318594,3.358313,105.361251,420.131613,0.305999,1.368897,4.165216,40.099601,21.754181,117.574335,1.482858,8.813411,0.384500,167.275045,48.382136,3.685130,3.640000,4.066199,74.075038,3.750000,1.358285,16.586417,1180.808664,186.309986,8.627228,0.904243,29.388198,31.114437,6.774100,7.333778,9.987500
2020-08-30,73.844624,1.357715,0.376000,11.550939,5.387928,0.748961,1.358544,1.642768,1.309502,779.464315,6.865212,3745.397519,6.333562,21.933885,6.250956,3.672500,0.839934,7.750803,297.363587,137.547816,73.141188,14704.209719,42025.277127,3.362133,105.353330,420.131923,0.305999,1.368972,4.165214,40.099705,21.766963,117.574460,1.483272,8.797452,0.384500,167.274991,48.382087,3.685929,3.640000,4.066199,74.004926,3.750000,1.358544,16.585704,1180.806871,186.309986,8.621982,0.904058,29.387973,31.114425,6.774048,7.333700,9.987500
2020-08-31,74.157655,1.353325,0.376000,11.550908,5.468266,0.747453,1.359803,1.636234,1.303129,775.779513,6.848443,3746.796201,6.294920,21.975479,6.226168,3.672500,0.836593,7.750209,297.427306,137.278672,73.527648,14562.778262,42070.959132,3.353645,105.826886,419.890757,0.305295,1.367734,4.165377,39.714081,21.884340,118.195694,1.480387,8.702120,0.384500,165.496122,48.474468,3.677481,3.640000,4.048201,74.442396,3.750000,1.359803,16.916755,1187.694274,185.741881,8.621746,0.900997,29.391676,31.062901,6.772160,7.352023,9.987500
