Date,First,Last,Highest,Lowest,Average
2000-1-01,5.00000,6.09875,6.10625,4.75000,5.50508
2000-2-01,6.12313,6.06031,6.12750,5.63188,5.97114
2000-3-01,6.06063,5.66781,6.12438,5.61938,5.88913
2000-4-01,5.86688,5.91844,6.94094,5.65969,6.02586
2000-5-01,5.95219,6.00766,6.25000,5.76750,5.99906
2000-6-01,5.92188,5.86563,6.62500,5.81125,5.99415
2000-7-01,5.75000,5.90313,6.18313,5.75000,5.97985
2000-8-01,5.88828,5.81000,6.22344,5.80500,5.94362
2000-9-01,5.83813,6.12375,6.26750,5.83813,6.05426
2000-10-01,5.93938,5.93906,6.12563,5.75000,5.95592
2000-11-01,5.93875,6.02375,6.09000,5.88125,5.98302
2000-12-01,6.09625,5.25625,6.25000,5.00000,5.88561
2001-1-01,5.83031,6.00000,6.22219,5.70625,5.93166
2001-2-01,6.87625,6.23594,7.00000,5.00000,5.88024
2001-3-01,5.75000,6.50000,6.61813,4.56063,5.46604
2001-4-01,6.48750,5.12938,6.82313,4.04563,5.37470
2001-5-01,5.59000,6.12875,6.69719,4.73359,5.55623
2001-6-01,5.31938,4.69188,5.75000,4.26250,4.82991
2001-7-01,5.01750,5.93625,6.12438,4.50000,5.34352
2001-8-01,5.75000,4.35422,6.00000,4.25000,4.81822
2001-9-01,4.27250,5.00000,5.86266,4.23375,4.96556
2001-10-01,5.63563,3.87813,5.75000,3.86188,4.67330
2001-11-01,3.87875,3.73750,4.38250,3.31719,3.62287
2001-12-01,4.70719,5.25625,5.43063,3.88500,4.67332
2002-1-01,3.95000,4.00000,4.30125,3.29906,3.79908
2002-2-01,4.30063,4.01500,5.00000,3.28125,4.06822
2002-3-01,4.25000,3.36063,5.00000,3.36063,4.05269
2002-4-01,3.55875,4.75000,4.75000,3.29906,3.71726
2002-5-01,3.50000,4.13563,5.00000,3.46000,3.99770
2002-6-01,4.25000,3.35250,4.35625,3.28000,3.55454
2002-7-01,3.73000,4.84688,4.84688,3.30906,3.81658
2002-8-01,4.75000,4.38250,4.75000,3.43875,4.13472
2002-9-01,4.75000,3.43563,4.75000,3.34125,3.94417
2002-10-01,3.41688,3.47625,4.88438,3.39750,4.07538
2002-11-01,3.41922,3.61750,4.87813,3.25000,3.62686
2002-12-01,4.82469,3.91469,5.00000,3.35813,4.35847
2003-1-01,4.81438,4.21750,4.81438,3.38000,3.79649
2003-2-01,4.74500,3.39375,4.74500,3.14500,3.76502
2003-3-01,4.25000,4.55125,4.75000,3.12625,3.97135
2003-4-01,4.43375,3.62750,4.61563,3.14469,3.66144
2003-5-01,3.13250,4.25000,4.62625,3.12563,3.72108
2003-6-01,4.50000,3.33078,4.62313,3.15500,3.69159
2003-7-01,3.50000,3.17125,4.25375,2.88688,3.37473
2003-8-01,3.00000,3.64938,4.49250,2.99375,3.54976
2003-9-01,4.23625,3.86563,4.23625,3.21875,3.56686
2003-10-01,3.25000,3.25000,4.00000,3.15375,3.42395
2003-11-01,3.15875,3.41094,4.13313,2.99125,3.57730
2003-12-01,4.35563,3.41563,4.35563,3.41563,3.84941
2004-1-01,3.44500,3.96219,4.50000,3.39578,3.81240
2004-2-01,3.43938,3.75000,5.00000,3.12500,4.18674
2004-3-01,4.15500,4.62313,4.62313,3.68906,4.00307
2004-4-01,3.72625,4.18938,4.62563,3.50000,3.96564
2004-5-01,3.68688,4.62563,4.62563,3.56188,4.25643
2004-6-01,4.62438,4.87875,4.87875,3.81031,4.44539
2004-7-01,4.40125,4.32281,5.01375,4.32281,4.52046
2004-8-01,4.19500,4.69375,5.37750,3.85625,4.69061
2004-9-01,4.69469,4.87625,5.25000,4.64000,4.81233
2004-10-01,4.70250,4.64625,5.21000,4.64625,4.78194
2004-11-01,4.64625,4.76625,5.31250,4.62750,4.80118
2004-12-01,4.67750,4.95750,5.20125,4.65625,4.82690
2005-1-01,5.00250,4.68875,5.00250,4.65000,4.78819
2005-2-01,4.85000,5.29500,5.29500,4.65250,4.85219
2005-3-01,5.25000,4.69250,5.50000,4.66875,4.81419
2005-4-01,4.95500,4.90125,5.01000,4.68625,4.88435
2005-5-01,4.85500,4.80125,4.96875,4.65125,4.75994
2005-6-01,4.87750,4.95375,5.05000,4.64750,4.84042
2005-7-01,4.69500,4.67500,5.00000,4.65250,4.81794
2005-8-01,4.70750,4.80000,4.80000,4.40125,4.62756
2005-9-01,4.80000,4.45000,4.80250,4.40625,4.61625
2005-10-01,4.55000,4.45000,4.70625,4.38125,4.47464
2005-11-01,4.70000,4.75000,4.75000,4.41250,4.59636
2005-12-01,4.43250,4.90000,4.90000,4.42000,4.70919
2006-1-01,4.73000,4.65000,4.75000,4.40875,4.52338
2006-2-01,4.45000,4.66125,4.66125,4.41875,4.47188
2006-3-01,4.75375,4.48875,4.85000,4.42875,4.59369
2006-4-01,4.70625,4.67375,4.75000,4.43000,4.54493
2006-5-01,4.49625,4.66250,4.66250,4.42625,4.56045
2006-6-01,4.63875,4.60625,4.64750,4.58813,4.62110
2006-7-01,4.63625,4.72125,4.72125,4.54750,4.59726
2006-8-01,4.95000,4.89375,4.95000,4.64375,4.85679
2006-9-01,4.85250,4.92250,4.92250,4.74750,4.84399
2006-10-01,4.84875,4.95500,4.95875,4.78750,4.87296
2006-11-01,4.87500,5.13313,5.14000,4.78625,5.03932
2006-12-01,5.09375,5.28125,5.28125,5.06250,5.13040
2007-1-01,5.12000,5.36875,5.36875,5.05625,5.26398
2007-2-01,5.34688,5.35750,5.42125,5.29000,5.35382
2007-3-01,5.35438,5.34375,5.38750,5.25625,5.34643
2007-4-01,5.32938,5.32750,5.46250,5.30625,5.34191
2007-5-01,5.33500,5.61125,5.62250,5.29875,5.52375
2007-6-01,5.59625,6.75375,6.75375,5.54375,5.65375
2007-7-01,6.73125,5.82938,6.73125,5.70875,5.91452
2007-8-01,5.80125,6.23125,6.50000,5.80125,6.01517
2007-9-01,6.24750,5.80000,6.46875,5.66000,5.92579
2007-10-01,5.80000,5.85500,5.85875,5.79625,5.82592
2007-11-01,5.80750,5.95000,5.95000,5.79250,5.83719
2007-12-01,5.88750,5.83500,5.88750,5.40625,5.65908
2008-1-01,5.59750,5.55125,5.61000,5.43750,5.55199
2008-2-01,5.54500,5.32875,5.56125,5.32125,5.37179
2008-3-01,5.35000,5.53750,5.58750,5.30875,5.38625
2008-4-01,5.39500,5.11125,5.39500,5.04625,5.14500
2008-5-01,5.11625,5.11500,5.11625,5.07125,5.09319
2008-6-01,5.09375,5.31500,5.31500,5.03625,5.09113
2008-7-01,5.10125,5.05938,5.10125,5.05125,5.06839
2008-8-01,5.01125,5.05188,5.05500,5.01125,5.04475
2008-9-01,5.05500,6.78125,6.79375,4.50000,5.19881
2008-10-01,4.96250,4.62500,5.84375,4.56250,5.06033
2008-11-01,4.52500,3.01250,4.53375,2.97500,3.30431
2008-12-01,3.00625,2.05875,3.00625,1.96875,2.14708
2009-1-01,2.00000,1.60000,2.00000,1.50000,1.62860
2009-2-01,1.60000,1.03125,1.60000,0.97875,1.12819
2009-3-01,1.01875,0.70000,1.09375,0.60000,0.70716
2009-4-01,0.61875,0.59750,0.61875,0.59750,0.60490
2009-5-01,0.55500,0.55375,0.55500,0.55000,0.55125
2009-6-01,0.55250,0.55250,0.55250,0.55000,0.55028
2009-7-01,0.55000,0.54625,0.55000,0.54125,0.54511
2009-8-01,0.54500,0.50750,0.54500,0.50750,0.53019
2009-9-01,0.50625,0.50250,0.50625,0.50250,0.50307
2009-10-01,0.50250,0.50500,0.50625,0.50250,0.50460
2009-11-01,0.50500,0.50500,0.50500,0.50375,0.50446
2009-12-01,0.50375,0.50625,0.50688,0.50313,0.50453
2010-1-01,0.50750,0.51375,0.51375,0.50750,0.51100
2010-2-01,0.51375,0.53000,0.53000,0.51375,0.52356
2010-3-01,0.53125,0.53813,0.53813,0.53125,0.53546
2010-4-01,0.53813,0.54688,0.54688,0.53813,0.54197
2010-5-01,0.54813,0.55000,0.55125,0.54750,0.54845
2010-6-01,0.55125,0.54875,0.55125,0.54875,0.54977
2010-7-01,0.54875,0.55125,0.55125,0.54875,0.55023
2010-8-01,0.55125,0.54750,0.55125,0.54750,0.54905
2010-9-01,0.54875,0.55125,0.55125,0.54875,0.54886
2010-10-01,0.55125,0.55375,0.55375,0.55000,0.55113
2010-11-01,0.55375,0.55313,0.55375,0.55250,0.55293
2010-12-01,0.55563,0.56500,0.56500,0.55500,0.55613
2011-1-01,0.55938,0.55688,0.55938,0.55688,0.55788
2011-2-01,0.55688,0.55625,0.55813,0.55625,0.55656
2011-3-01,0.55625,0.56063,0.56063,0.55625,0.55726
2011-4-01,0.56188,0.58088,0.58088,0.56188,0.56829
2011-5-01,0.58088,0.56813,0.58088,0.56438,0.57171
2011-6-01,0.56813,0.67125,0.67125,0.56563,0.57219
2011-7-01,0.56813,0.57125,0.57125,0.56375,0.56533
2011-8-01,0.56875,0.58438,0.58438,0.56875,0.57705
