Date,First,Last,Highest,Lowest,Average
2000-1-01,5.64688,5.78016,5.78016,5.60500,5.64752
2000-2-01,5.87438,5.83156,5.88125,5.80391,5.84138
2000-3-01,5.82656,6.17375,6.17375,5.81906,5.96000
2000-4-01,6.13250,6.12375,6.13250,6.08922,6.10579
2000-5-01,6.13375,6.62000,6.62000,6.12438,6.43857
2000-6-01,6.62000,6.63500,6.92750,6.58125,6.66582
2000-7-01,6.62750,6.59750,6.62750,6.58875,6.60744
2000-8-01,6.59875,6.58000,6.59875,6.56500,6.57688
2000-9-01,6.57875,6.61125,6.65000,6.56750,6.59994
2000-10-01,6.61000,6.59125,6.61000,6.58750,6.59483
2000-11-01,6.58750,6.58875,6.60375,6.58375,6.59205
2000-12-01,6.58750,6.61250,6.83875,6.56875,6.62118
2001-1-01,6.60500,5.59500,6.60500,5.59500,6.00801
2001-2-01,5.65000,5.62625,5.65000,5.54375,5.59434
2001-3-01,5.58750,5.66813,5.66813,5.05875,5.43224
2001-4-01,5.30281,4.76875,5.30281,4.45219,4.90187
2001-5-01,4.75375,4.22875,4.75375,3.99813,4.30645
2001-6-01,4.13063,4.24000,4.24000,3.83922,4.03467
2001-7-01,4.12313,3.96625,4.12313,3.76625,3.83949
2001-8-01,3.90375,3.74250,3.90375,3.56000,3.73436
2001-9-01,3.71609,3.56531,5.36000,1.93250,3.44416
2001-10-01,3.35000,2.70500,3.35000,2.48875,2.59740
2001-11-01,2.62563,2.18594,2.62563,2.03875,2.18159
2001-12-01,2.15453,2.05141,2.15453,1.77000,1.91556
2002-1-01,1.95734,1.94094,1.95734,1.72859,1.82592
2002-2-01,1.87688,1.93594,1.93594,1.77500,1.83570
2002-3-01,1.84172,2.00750,2.00750,1.77250,1.82804
2002-4-01,1.85500,1.86125,1.95000,1.76500,1.81916
2002-5-01,1.90250,1.88125,1.92750,1.75000,1.82232
2002-6-01,1.80250,2.03125,2.03125,1.74125,1.81059
2002-7-01,1.91625,1.81250,1.91625,1.76625,1.81060
2002-8-01,1.85500,1.95000,1.95000,1.76125,1.82271
2002-9-01,1.92000,2.06500,2.06500,1.75000,1.82950
2002-10-01,1.93875,1.95000,1.95000,1.76750,1.82170
2002-11-01,1.83750,1.36375,1.83750,1.23875,1.41771
2002-12-01,1.35000,1.32000,1.36125,1.26875,1.30177
2003-1-01,1.36125,1.35250,1.36125,1.25500,1.30054
2003-2-01,1.30625,1.37125,1.37125,1.25625,1.29651
2003-3-01,1.36375,1.51000,1.51000,1.26625,1.31512
2003-4-01,1.37500,1.43500,1.43500,1.27500,1.32406
2003-5-01,1.36500,1.42750,1.42750,1.27000,1.31919
2003-6-01,1.37125,1.52125,1.52125,1.11500,1.29429
2003-7-01,1.25125,1.18625,1.25125,1.02500,1.08239
2003-8-01,1.08125,1.17875,1.23000,1.01250,1.07200
2003-9-01,1.11250,1.30375,1.30375,1.00500,1.07810
2003-10-01,1.12375,1.11375,1.17125,1.02625,1.06165
2003-11-01,1.08875,1.05125,1.11125,1.02625,1.04860
2003-12-01,1.08000,1.08875,1.08875,1.01250,1.04143
2004-1-01,1.06000,1.06750,1.07000,1.01750,1.04591
2004-2-01,1.05250,1.07875,1.09125,1.03125,1.04579
2004-3-01,1.06875,1.09500,1.09500,1.04000,1.05347
2004-4-01,1.07500,1.09500,1.09500,1.04625,1.05981
2004-5-01,1.06000,1.08500,1.08500,1.04125,1.05526
2004-6-01,1.06625,1.59125,1.59125,1.04125,1.08886
2004-7-01,1.39875,1.37750,1.39875,1.29375,1.31631
2004-8-01,1.35250,1.62500,1.62500,1.31750,1.49524
2004-9-01,1.59625,1.80500,1.80500,1.53875,1.64388
2004-10-01,1.86500,1.88500,1.88500,1.78750,1.81456
2004-11-01,1.85500,2.12750,2.12750,1.80750,1.98838
2004-12-01,2.08625,2.34625,2.34875,2.05000,2.21655
2005-1-01,2.31875,2.52250,2.52250,2.27625,2.32487
2005-2-01,2.55625,2.64625,2.64625,2.52375,2.55539
2005-3-01,2.57875,2.84750,2.84750,2.53500,2.64656
2005-4-01,2.84125,3.04250,3.04250,2.77875,2.82411
2005-5-01,3.05000,3.10375,3.11625,3.03563,3.04866
2005-6-01,3.06750,3.26625,3.26625,3.03000,3.07229
2005-7-01,3.32875,3.36375,3.36375,3.25500,3.29657
2005-8-01,3.30500,3.62000,3.62000,3.27563,3.49997
2005-9-01,3.58375,3.94500,3.94500,3.53688,3.68664
2005-10-01,3.85250,4.06250,4.06250,3.77625,3.82788
2005-11-01,4.06250,4.07750,4.10438,4.02875,4.04622
2005-12-01,4.05188,4.34125,4.35313,4.03563,4.21772
2006-1-01,4.32500,4.53500,4.53500,4.28625,4.33342
